Year,Type,Activity,Sex ,Injury,Fatal (Y/N),Ages
2016,Unprovoked,Surfing,M,Minor injury to thigh,N,Digital
2016,Unprovoked,Surfing,M,Lacerations to hands,N,Digital
2016,Unprovoked,Surfing,M,Lacerations to lower leg,N,Digital
2016,Unprovoked,Surfing,M,Struck by fin on chest & leg,N,Digital
2016,Unprovoked,Surfing,M,No injury: Knocked off board by shark,N,Digital
2016,Unprovoked,Wading,M,Minor injury to arm,N,Digital
2016,Unprovoked,Swimming,F,Severe lacerations to shoulder & forearm,N,Digital
2016,Unprovoked,Kite surfing,M,FATAL,Y,Digital
2016,Unprovoked,Boogie boarding,F,Lacerations & punctures to lower right leg,N,Digital
2016,Unprovoked,Surfing,M,"No inury, board broken in half by shark",N,Digital
2016,Unprovoked,Body boarding,M,Foot bitten,N,Digital
2016,Unprovoked,Spearfishing,M,Two toes broken & lacerated,N,Digital
2016,Unprovoked,Surfing,M,Lacerations to right foot,N,Digital
2016,Unprovoked,Surfing,M,Minor injury to ankle,N,Digital
2016,Unprovoked,Surfing,M,"Right arm severed, ankle severely bitten ",N,Digital
2016,Unprovoked,Wading,M,Minor injury to ankle,N,Digital
2016,Unprovoked,Snorkeling,M,Lacerations to left leg,N,Digital
2016,Unprovoked,SUP Foil boarding,M,"No inury, shark & board collided",N,Digital
2016,Unprovoked,Surfing,M,Big toe bitten,N,Digital
2016,Unprovoked,Swimming,M,Lacerations to right hand,N,Digital
2016,Unprovoked,Swimming,M,Lacerations to leg,N,Digital
2016,Provoked,Kayaking,M,"No injury, shark nudged kayak repeatedly",N,Digital
2016,Provoked,Lobstering,M,Laceration to left forearm PROVOKED INCIDENT,N,Digital
2016,Unprovoked,Surfing,M,"No injury. Leg rope severed, knocked off board by shark",N,Digital
2016,Unprovoked,Surfing,M,Lacerations to left leg,N,Digital
2016,Unprovoked,Surfing,M,Calf bumped but no injury,N,Digital
2016,Unprovoked,Spearfishing,M,Lacerations to face and right leg,N,Digital
2016,Provoked,Fishing,M,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,Digital
2016,Unprovoked,Surfing,F,Minor injury to leg,N,Digital
2016,Unprovoked,,F,Minor injury to toes,N,Digital
2016,Unprovoked,Swimming,M,Puncture wounds to foot,N,Digital
2016,Unprovoked,Scuba Diving,M,Face bruised when partly blind shark collided with him,N,Digital
2016,Unprovoked,Wading,F,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Digital
2016,Provoked,Fishing for squid,M,"No injury. Hull bitten, tooth fragment recovered",N,Digital
2016,Provoked,Fishing,M,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,Digital
2016,Provoked,Fishing for sharks,M,"No injury. Hull bitten, tooth fragment recovered",N,Digital
2016,Unprovoked,Swimming,F,"Buttocks, thigh, left hand & wrist injured",N,Digital
2016,Provoked,Fishing,M,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,Digital
2016,Unprovoked,,M,Minor injury,N,Digital
2016,Unprovoked,Surfing,M,Foot injured,N,Digital
2016,Unprovoked,Scuba Diving,M,Severe bite to right hand,N,Digital
2016,Unprovoked,Spearfishing,M,Injuries to left leg & right hand,N,Digital
2016,Unprovoked,Floating,M,Lacerations and punctures to foot,N,Digital
2016,Unprovoked,Wading,M,Injuries to right calf,N,Digital
