UnixTime,Exchange
1549936015,3174.66
1549935731,3173.37
1549935489,3169.64
1549935384,3169.33
1549935384,3169.33
1549935081,3167.71
1549935076,3167.94
1549934955,3173.83
1549934928,3173.91
1549934925,3173.97
1549934908,3173.91
1549934902,3173.97
1549934890,3174.1
1549934868,3174.14
1549934868,3174.14
1549934849,3174.12
1549934848,3174.1
1549934828,3173.91
1549934827,3173.93
1549934808,3174.15
1549934807,3174.17
1549934794,3174.12
1549934791,3174.14
1549934788,3174.16
1549934770,3174.02
1549934760,3174.17
1549934760,3174.17
1549934748,3174.14
1549934733,3167.28
1549934729,3174.22
1549934728,3174.19
1549934727,3167.24
1549934727,3167.48
1549934725,3168.02
1549934725,3168.02
1549934711,3174.08
1549934697,3174.1
1549934695,3173.31
1549934682,3174.24
1549934677,3174.22
1549934669,3174.2
1549934656,3174.22
1549934651,3174.1
1549934648,3173.2
1549934647,3173.2
1549934622,3174.15
1549934617,3173.29
1549934617,3173.29
1549934604,3173.08
1549934592,3173.08
1549934587,3173.12
1549934576,3173.18
1549934564,3174.15
1549934557,3174.06
1549934554,3174.09
1549934535,3174.36
1549934529,3174.49
1549934512,3174.9
1549934503,3175.06
1549934501,3175.1
1549934499,3167.52
1549934487,3167.52
1549934482,3175.45
1549934482,3175.45
1549934475,3174.28
1549934475,3174.28
1549934467,3173.65
1549934460,3171.14
1549934447,3171.14
1549934437,3171.14
1549934424,3170.98
1549934424,3170.98
1549934415,3170.93
1549934409,3170.93
1549934399,3170.93
1549934387,3171.08
1549934377,3171.04
1549934369,3170.85
1549934356,3170.94
1549934349,3171.06
1549934349,3171.06
1549934335,3171.3
1549934331,3165.01
1549934331,3167.0
1549934322,3170.37
1549934317,3170.37
1549934309,3170.37
1549934298,3170.37
1549934292,3170.37
1549934292,3170.36
1549934290,3167.95
1549934121,3167.0
1549933975,3162.75
1549933975,3162.8
1549933975,3163.05
1549933975,3163.05
1549933975,3163.05
1549933975,3163.84
1549933974,3163.84
1549933974,3163.84
1549933974,3163.87
1549933969,3163.61
1549933842,3162.57
1549933679,3162.59
1549933572,3169.55
1549933408,3163.71
1549933230,3170.0
1549933090,3170.0
1549933073,3170.0
1549932937,3171.66
1549932936,3171.66
1549932912,3170.0
1549932791,3171.65
1549932730,3171.65
1549932703,3167.34
1549932617,3166.29
1549932615,3171.52
1549932511,3166.2
1549932510,3166.2
1549932504,3166.15
1549932492,3166.24
1549932486,3166.22
1549932371,3171.52
1549932012,3170.95
1549932012,3170.97
1549931899,3162.46
1549931897,3168.45
1549931842,3170.35
1549931822,3170.6
1549931802,3170.98
1549931762,3171.47
1549931742,3171.62
1549931740,3167.2
1549931732,3166.82
1549931726,3166.81
1549931712,3170.71
1549931686,3168.45
1549931684,3168.43
1549931640,3163.33
1549931612,3163.33
1549931588,3163.33
1549931547,3163.52
1549931521,3157.03
1549931512,3164.39
1549931499,3168.51
1549931490,3168.53
1549931475,3162.14
1549931475,3162.46
1549931474,3162.48
1549931473,3162.48
1549931459,3169.6
1549931442,3170.5
1549931425,3170.86
1549931390,3171.46
1549931389,3171.46
1549931370,3171.64
1549931359,3171.66
1549931338,3171.93
1549931325,3172.06
1549931322,3172.07
1549931297,3169.73
1549931285,3169.4
1549931267,3168.33
1549931259,3168.32
1549931251,3168.33
1549931237,3168.19
1549931236,3168.33
1549931219,3168.33
1549931212,3168.0
1549931203,3168.33
1549931195,3168.93
1549931188,3169.04
1549931185,3168.17
1549931174,3169.06
1549931152,3169.45
1549931145,3169.51
1549931140,3169.55
1549931140,3169.55
1549931127,3166.46
1549931115,3165.51
1549931113,3165.51
1549931107,3165.51
1549931102,3165.5
1549931102,3165.5
1549931099,3165.43
1549931099,3165.42
1549931081,3162.81
1549931078,3162.66
1549931070,3162.78
1549931069,3162.77
1549931068,3153.56
1549931068,3155.1
1549931067,3155.11
1549931067,3156.82
1549931067,3156.84
1549931067,3157.79
1549931067,3157.81
1549931065,3162.81
1549931065,3162.81
1549931051,3162.81
1549931035,3162.46
1549931031,3162.81
1549931023,3162.81
1549931022,3162.81
1549931018,3162.81
1549931011,3162.8
1549931003,3162.81
1549930992,3162.29
1549930982,3162.29
1549930982,3162.29
1549930978,3162.29
1549930970,3162.46
1549930959,3162.46
1549930950,3162.38
1549930943,3162.46
1549930942,3162.46
1549930933,3162.46
1549930927,3156.36
1549930924,3162.46
1549930916,3162.46
1549930911,3162.46
1549930902,3162.46
1549930896,3162.31
1549930896,3162.31
1549930894,3162.45
1549930893,3162.45
1549930877,3162.45
1549930876,3162.45
1549930867,3162.45
1549930866,3162.45
1549930859,3162.45
1549930859,3162.45
1549930853,3162.46
1549930849,3162.46
1549930839,3162.46
1549930839,3162.45
1549930834,3162.44
1549930826,3162.44
1549930825,3162.43
1549930818,3162.45
1549930817,3162.45
1549930810,3150.91
1549930804,3158.88
1549930803,3161.92
1549930803,3161.91
1549930803,3160.58
1549930798,3162.0
1549930789,3162.5
1549930781,3163.33
1549930775,3163.94
1549930769,3163.95
1549930766,3162.33
1549930763,3163.97
1549930763,3163.97
1549930760,3163.97
1549930752,3163.98
1549930747,3164.0
1549930744,3164.19
1549930732,3164.2
1549930728,3164.18
1549930722,3163.83
1549930717,3164.06
1549930715,3164.19
1549930708,3163.28
1549930708,3164.2
1549930707,3164.2
1549930707,3164.2
1549930707,3163.28
1549930707,3163.28
1549930707,3163.28
1549930707,3163.26
1549930699,3163.28
1549930685,3163.23
1549930682,3163.28
1549930671,3162.37
1549930669,3162.37
1549930665,3162.36
1549930651,3163.3
1549930648,3163.51
1549930648,3163.51
1549930647,3163.51
1549930647,3163.51
1549930643,3163.97
1549930643,3152.73
1549930635,3159.64
1549930632,3159.64
1549930632,3159.64
1549930629,3159.68
1549930627,3149.0
1549930626,3149.0
1549930626,3148.85
1549930626,3148.85
1549930626,3150.0
1549930626,3150.0
1549930626,3150.0
1549930625,3145.07
1549930625,3145.08
1549930625,3150.0
1549930624,3150.0
1549930624,3150.0
1549930624,3150.0
1549930624,3150.0
1549930624,3150.0
1549930624,3150.0
1549930624,3150.0
1549930624,3150.0
1549930623,3151.0
1549930623,3150.0
1549930623,3150.0
1549930623,3151.0
1549930623,3151.84
1549930621,3152.0
1549930621,3152.36
1549930621,3151.84
1549930620,3152.91
1549930620,3152.91
1549930617,3158.23
1549930617,3158.23
1549930617,3158.23
1549930617,3158.23
1549930616,3158.23
1549930616,3158.22
1549930616,3157.79
1549930613,3152.91
1549930605,3152.94
1549930603,3152.92
1549930603,3155.48
1549930603,3156.0
1549930603,3157.0
1549930602,3158.27
1549930602,3158.27
1549930601,3158.27
1549930601,3158.0
1549930601,3157.02
1549930599,3158.68
1549930597,3165.21
1549930591,3166.77
1549930590,3163.47
1549930585,3169.09
1549930582,3169.3
1549930582,3169.3
1549930575,3170.5
1549930551,3172.07
1549930551,3172.33
1549930544,3172.33
1549930540,3172.33
1549930538,3172.29
1549930524,3172.31
1549930524,3172.33
1549930518,3164.02
1549930518,3164.02
1549930513,3171.3
1549930507,3171.58
1549930503,3172.11
1549930501,3172.29
1549930494,3172.31
1549930480,3172.46
1549930476,3172.93
1549930469,3172.97
1549930467,3173.01
1549930464,3173.26
1549930464,3173.26
1549930464,3173.25
1549930461,3173.27
1549930433,3174.0
1549930431,3174.0
1549930423,3174.0
1549930419,3172.44
1549930411,3173.12
1549930410,3173.12
1549930401,3173.34
1549930392,3173.63
1549930392,3177.49
1549930391,3173.63
1549930391,3173.63
1549930379,3173.63
1549930368,3173.63
1549930367,3173.63
1549930358,3173.56
1549930355,3173.56
1549930355,3173.54
1549930352,3173.56
1549930350,3169.95
1549930346,3164.0
1549930344,3164.0
1549930344,3164.0
1549930334,3163.47
1549930334,3163.45
1549930333,3163.45
1549930332,3163.47
1549930328,3160.85
1549930320,3163.56
1549930316,3159.21
1549930313,3163.88
1549930313,3159.21
1549930313,3159.22
1549930313,3159.23
1549930312,3160.0
1549930311,3160.0
1549930311,3160.0
1549930311,3160.0
1549930311,3160.0
1549930310,3163.99
1549930307,3160.01
1549930303,3161.51
1549930303,3161.51
1549930302,3164.0
1549930301,3165.99
1549930300,3165.98
1549930298,3165.99
1549930296,3160.13
1549930296,3160.01
1549930295,3164.0
1549930294,3164.0
1549930294,3166.0
1549930294,3165.0
1549930294,3165.0
1549930293,3165.0
1549930293,3165.0
1549930293,3165.0
1549930293,3165.02
1549930292,3165.0
1549930292,3166.0
1549930292,3166.0
1549930291,3166.0
1549930291,3166.0
1549930290,3166.0
1549930290,3166.71
1549930290,3166.88
1549930290,3167.61
1549930290,3168.38
1549930289,3170.0
1549930289,3170.17
1549930288,3170.0
1549930288,3170.0
1549930287,3170.0
1549930287,3170.0
1549930287,3170.0
1549930287,3173.63
1549930286,3173.63
1549930286,3173.63
