SEASON,CHAMPION
2018,Boston Red Sox
2017,Houston Astros
2016,Chicago Cubs
2015,Kansas City Royals
2014,San Francisco Giants
2013,Boston Red Sox
2012,San Francisco Giants
2011,St. Louis Cardinals
2010,San Francisco Giants
2009,New York Yankees
2008,Philadelphia Phillies
2007,Boston Red Sox
2006,St. Louis Cardinals
2005,Chicago White Sox
2004,Boston Red Sox
2003,Florida Marlins
2002,Los Angeles Angels
2001,Arizona Diamondbacks
2000,New York Yankees
1999,New York Yankees
1998,New York Yankees
1997,Florida Marlins
1996,New York Yankees
1995,Atlanta Braves
1993,Toronto Blue Jays
1992,Toronto Blue Jays
1991,Minnesota Twins
1990,Cincinnati Reds
1989,Oakland Athletics
1988,Los Angeles Dodgers
1987,Minnesota Twins
1986,New York Mets
1985,Kansas City Royals
1984,Detroit Tigers
1983,Baltimore Orioles
1982,St. Louis Cardinals
1981,Los Angeles Dodgers
1980,Philadelphia Phillies
1979,Pittsburgh Pirates
1978,New York Yankees
1977,New York Yankees
1976,Cincinnati Reds
1975,Cincinnati Reds
